what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1515326173816
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1515326173817
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1515326173831
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1515326173844
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1515326173844
os,sysinfo,,,"linux",1515326173850
arch,sysinfo,,,"x86_64",1515326173850
ws,sysinfo,,,"gtk",1515326173850
locale,sysinfo,,,"en_GB",1515326173850
processors,sysinfo,,,"4",1515326173850
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1515326173850
java.runtime.version,sysinfo,,,"1.8.0_151-8u151-b12-0ubuntu0.16.04.2-b12",1515326173850
java.specification.name,sysinfo,,,"Java Platform API Specification",1515326173850
java.specification.vendor,sysinfo,,,"Oracle Corporation",1515326173850
java.specification.version,sysinfo,,,"1.8",1515326173850
java.vendor,sysinfo,,,"Oracle Corporation",1515326173850
java.version,sysinfo,,,"1.8.0_151",1515326173850
java.vm.info,sysinfo,,,"mixed mode",1515326173850
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1515326173850
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1515326173850
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1515326173850
java.vm.specification.version,sysinfo,,,"1.8",1515326173850
java.vm.vendor,sysinfo,,,"Oracle Corporation",1515326173850
java.vm.version,sysinfo,,,"25.151-b12",1515326173850
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1515326174914
error,log,,,"Unhandled event loop exception",1515326175018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1515326655725
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1515326657890
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1515326677531
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1515326677588
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1515326677666
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1515326711256
